 part1_pos, part2_pos, part3_pos, part4_pos, part5_pos
11.1321,15.8517,93.5541,95.5667,111.473
11.1321,15.8517,93.5541,95.5667,110.872
11.1321,15.8517,93.5541,95.5667,110.226
11.1321,15.8517,93.5541,95.5667,109.532
11.1321,15.8517,93.5541,95.5667,108.786
11.1321,15.8517,93.5541,95.5667,107.983
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
11.1321,15.8517,93.5541,95.5667,107.297
